soil_type,season,water,temperature,humidity,label
red,summer,medium,30.71,55.77,turmeric
sandy,autumn,medium,18.0,50.0,potato
loamy,autumn,low,22.0,92.0,apple
red,summer,low,26.96,70.99,grapes
loamy,summer,high,28.92,67.92,ginger
black,summer,medium,26.48,52.83,maize
loamy,summer,medium,36.21,86.4,papaya
loamy,autumn,low,21.0,58.0,pomegranate
black,summer,medium,26.24,71.79,cotton
clay,monsoon,high,26.69,74.66,sugarcane
sandy,summer,medium,29.8,36.07,chili
clay,autumn,low,24.0,64.0,lentil
red,autumn,medium,20.0,21.0,kidneybeans
loamy,winter,medium,12.97,33.0,onion
loamy,summer,low,36.49,42.9,mango
loamy,monsoon,medium,25.62,68.03,guava
red,monsoon,medium,23.28,99.0,tea
loamy,summer,medium,25.33,66.81,grapes
sandy,autumn,low,21.0,58.0,pomegranate
black,monsoon,high,23.69,97.75,rice
red,autumn,low,28.0,53.0,mothbeans
red,monsoon,low,28.03,84.97,blackgram
black,summer,high,28.71,74.67,rice
loamy,summer,medium,27.54,35.53,tomato
black,monsoon,high,23.95,95.95,jute
loamy,winter,low,10.33,43.77,potato
black,monsoon,medium,23.26,60.94,chili
loamy,monsoon,medium,26.06,77.53,sugarcane
sandy,autumn,medium,22.0,92.0,orange
clay,monsoon,medium,27.24,83.31,turmeric
red,winter,medium,11.38,41.77,potato
loamy,autumn,high,24.0,80.0,tea
sandy,monsoon,medium,31.37,99.65,papaya
clay,monsoon,medium,28.19,80.97,turmeric
sandy,summer,medium,30.04,49.61,guava
loamy,autumn,medium,22.59,62.61,maize
loamy,monsoon,high,24.01,89.37,banana
red,summer,low,29.74,33.38,millets
red,monsoon,medium,23.44,90.99,ginger
sandy,summer,medium,29.22,75.59,watermelon
sandy,autumn,low,22.21,83.64,grapes
sandy,monsoon,medium,22.88,76.48,guava
clay,monsoon,medium,24.83,88.02,ginger
loamy,summer,low,30.89,79.63,mungbean
loamy,summer,high,26.94,80.46,coconut
red,monsoon,medium,25.78,90.25,ginger
red,monsoon,medium,25.23,72.69,coffee
sandy,monsoon,medium,22.01,73.42,guava
red,summer,medium,36.75,80.95,papaya
sandy,summer,low,26.7,75.06,grapes
loamy,monsoon,medium,26.71,83.77,blackgram
red,winter,low,9.89,9.4,chickpea
black,winter,low,9.88,16.97,barley
loamy,summer,medium,28.15,34.19,tomato
red,summer,medium,35.64,39.01,mango
loamy,summer,low,25.7,68.42,grapes
loamy,summer,medium,25.08,66.74,grapes
loamy,summer,high,29.53,65.43,rice
sandy,summer,medium,26.67,51.42,maize
sandy,summer,medium,35.83,78.97,papaya
clay,summer,high,28.85,63.58,jute
loamy,autumn,low,17.95,32.5,barley
loamy,autumn,low,17.2,31.99,barley
black,summer,low,30.01,37.65,pigeonpeas
loamy,summer,low,36.08,42.4,mango
red,summer,low,34.33,34.9,mango
clay,winter,low,3.57,23.86,wheat
loamy,summer,high,28.21,77.21,coconut
red,autumn,low,28.68,53.89,mothbeans
sandy,summer,medium,31.26,45.95,guava
sandy,autumn,medium,24.1,51.94,tomato
sandy,summer,medium,28.44,72.94,watermelon
sandy,summer,low,30.73,41.89,sorghum
black,summer,high,27.68,75.45,rice
loamy,summer,medium,24.42,77.68,orange
clay,summer,high,28.88,66.84,jute
loamy,monsoon,medium,25.81,99.15,banana
clay,monsoon,high,25.46,74.25,sugarcane
loamy,monsoon,medium,27.32,79.07,sugarcane
sandy,summer,low,23.67,45.05,pomegranate
black,summer,medium,26.84,71.78,cotton
loamy,winter,low,13.99,14.39,kidneybeans
loamy,summer,high,32.49,73.89,banana
loamy,summer,high,27.72,66.25,rice
loamy,monsoon,medium,31.78,66.35,mango
loamy,monsoon,high,24.09,90.72,banana
loamy,monsoon,high,29.41,100.0,papaya
loamy,winter,medium,10.23,29.73,wheat
loamy,summer,low,30.44,77.18,muskmelon
black,autumn,low,26.61,51.3,sorghum
sandy,summer,low,25.64,77.2,grapes
red,summer,medium,31.14,77.56,muskmelon
loamy,monsoon,high,28.29,81.4,turmeric
loamy,summer,low,29.31,41.48,mothbeans
loamy,winter,low,10.12,42.87,potato
loamy,monsoon,medium,25.4,64.31,pigeonpeas
red,monsoon,low,26.08,61.74,millets
black,autumn,low,26.39,51.83,sorghum
loamy,autumn,low,21.92,55.57,pomegranate
sandy,summer,high,29.14,78.46,coconut
red,monsoon,high,22.53,86.63,ginger
black,winter,medium,4.69,25.57,wheat
loamy,monsoon,high,22.7,96.57,coconut
loamy,monsoon,high,24.82,89.47,banana
black,winter,medium,5.98,23.15,wheat
loamy,winter,medium,14.39,8.18,kidneybeans
loamy,summer,medium,23.76,51.2,maize
red,winter,medium,10.4,40.89,potato
loamy,monsoon,high,23.6,86.44,ginger
sandy,winter,low,10.03,10.63,chickpea
black,winter,low,9.88,20.84,barley
sandy,summer,medium,25.65,54.83,maize
loamy,autumn,medium,26.12,56.38,coffee
loamy,autumn,medium,26.79,54.17,guava
sandy,monsoon,medium,32.33,98.05,papaya
red,summer,low,32.35,72.84,mungbean
sandy,summer,low,29.95,40.75,mothbeans
loamy,monsoon,high,22.41,96.95,tea
red,summer,low,30.42,34.49,pigeonpeas
red,monsoon,medium,25.33,68.77,coffee
loamy,autumn,low,21.87,90.65,apple
clay,monsoon,medium,21.97,99.19,rice
sandy,autumn,medium,27.11,86.82,muskmelon
red,autumn,low,22.21,59.78,pomegranate
sandy,autumn,low,21.71,83.87,grapes
loamy,monsoon,low,25.86,68.26,pigeonpeas
loamy,summer,high,27.42,65.37,ginger
clay,autumn,low,22.7,63.8,lentil
loamy,monsoon,medium,22.54,67.99,chili
black,summer,high,32.72,51.02,sugarcane
loamy,monsoon,medium,25.03,100.0,tea
red,monsoon,medium,28.81,83.68,turmeric
loamy,autumn,medium,20.51,66.03,maize
loamy,monsoon,high,24.59,87.98,ginger
loamy,autumn,high,24.84,82.86,tea
black,winter,low,10.39,29.63,onion
loamy,monsoon,medium,24.23,97.59,cotton
loamy,winter,medium,11.98,32.6,onion
loamy,monsoon,high,23.07,91.76,banana
black,summer,low,32.73,60.25,blackgram
loamy,summer,low,26.68,70.1,grapes
loamy,monsoon,high,27.61,83.61,turmeric
sandy,summer,low,33.76,37.55,millets
loamy,summer,medium,26.66,37.52,tomato
clay,winter,medium,10.91,8.26,kidneybeans
loamy,summer,low,36.82,44.94,mango
clay,monsoon,high,22.36,97.78,rice
sandy,summer,high,29.85,75.61,watermelon
sandy,monsoon,medium,19.86,83.58,maize
loamy,monsoon,medium,24.77,100.0,banana
loamy,winter,low,11.89,16.79,kidneybeans
sandy,summer,low,32.05,38.38,millets
red,monsoon,high,22.98,87.89,ginger
loamy,winter,medium,17.0,77.79,orange
loamy,monsoon,high,27.24,71.55,sugarcane
sandy,summer,high,29.09,75.47,watermelon
red,winter,medium,16.37,83.64,apple
red,summer,medium,25.37,52.39,maize
loamy,summer,high,27.52,74.93,watermelon
red,winter,low,11.46,11.63,chickpea
red,summer,medium,26.07,51.12,maize
loamy,monsoon,medium,24.15,69.78,chili
clay,winter,medium,9.87,19.63,wheat
loamy,monsoon,low,26.41,65.48,pigeonpeas
sandy,summer,high,29.55,80.66,coconut
sandy,summer,medium,28.85,46.47,guava
sandy,summer,medium,29.12,44.6,guava
sandy,summer,low,28.89,43.74,sorghum
loamy,winter,medium,9.99,29.17,wheat
clay,monsoon,medium,27.19,82.28,turmeric
red,monsoon,low,28.04,84.33,blackgram
sandy,autumn,medium,21.25,92.97,orange
loamy,monsoon,medium,22.91,94.03,ginger
clay,winter,low,4.56,18.79,wheat
loamy,summer,high,29.51,68.19,rice
black,summer,low,28.55,33.95,pigeonpeas
sandy,monsoon,medium,21.8,97.71,watermelon
sandy,summer,medium,28.37,35.09,chili
loamy,summer,medium,31.2,40.09,guava
loamy,summer,high,28.84,63.93,jute
clay,summer,high,27.93,66.87,jute
sandy,winter,low,11.71,31.88,onion
black,summer,medium,25.93,54.88,maize
loamy,winter,medium,12.81,35.42,potato
red,summer,medium,28.16,41.84,coffee
loamy,autumn,medium,21.1,93.99,orange
clay,winter,low,4.46,20.2,wheat
loamy,winter,medium,7.76,30.27,wheat
loamy,autumn,medium,21.81,94.3,apple
loamy,winter,medium,17.57,80.72,orange
black,summer,medium,25.43,54.53,maize
loamy,winter,medium,13.43,35.88,onion
red,monsoon,high,21.49,96.07,tea
black,monsoon,low,27.39,85.42,blackgram
black,summer,medium,25.19,74.64,cotton
clay,monsoon,high,23.27,90.42,jute
loamy,summer,high,32.98,72.89,banana
sandy,monsoon,medium,23.29,74.9,guava
red,autumn,medium,27.2,58.89,coffee
red,winter,low,10.84,10.18,chickpea
loamy,monsoon,medium,25.68,80.16,sugarcane
black,winter,medium,6.0,22.35,wheat
clay,monsoon,medium,26.64,84.54,turmeric
loamy,monsoon,high,27.31,74.43,sugarcane
loamy,summer,medium,36.06,39.77,mango
sandy,summer,medium,34.15,42.54,mango
sandy,summer,high,27.5,75.26,watermelon
clay,autumn,low,22.56,63.2,lentil
loamy,summer,low,32.31,40.73,sorghum
red,winter,medium,16.06,86.74,apple
sandy,winter,low,13.74,31.96,onion
loamy,summer,low,31.49,76.63,muskmelon
loamy,monsoon,high,20.8,95.07,rice
loamy,summer,high,27.5,67.62,ginger
sandy,monsoon,low,28.38,69.59,mothbeans
loamy,monsoon,medium,25.5,77.88,sugarcane
black,monsoon,high,24.42,80.34,sugarcane
loamy,autumn,low,18.67,40.8,onion
black,winter,low,9.99,26.85,wheat
sandy,monsoon,medium,23.16,97.27,coconut
black,summer,low,33.39,37.81,millets
clay,winter,medium,8.76,23.57,wheat
red,summer,medium,29.29,74.81,watermelon
loamy,summer,medium,34.71,41.72,mango
loamy,winter,low,9.16,46.76,potato
loamy,summer,medium,26.44,69.65,grapes
clay,monsoon,medium,26.22,84.8,turmeric
sandy,winter,low,8.67,26.29,barley
loamy,autumn,medium,22.61,65.44,maize
loamy,summer,medium,26.04,81.1,orange
loamy,autumn,low,20.3,57.57,pomegranate
clay,winter,medium,9.29,7.68,kidneybeans
red,summer,low,27.6,69.75,grapes
red,winter,medium,13.95,36.61,tomato
loamy,summer,medium,30.96,42.87,chili
sandy,summer,high,31.95,78.18,coconut
loamy,summer,medium,31.14,70.69,mungbean
red,winter,medium,14.44,86.12,apple
sandy,autumn,low,21.27,60.09,pomegranate
red,summer,medium,28.62,39.98,chili
black,winter,medium,5.91,22.06,wheat
red,winter,medium,14.37,88.78,apple
black,monsoon,high,26.5,80.89,sugarcane
red,summer,low,26.46,72.14,grapes
loamy,monsoon,high,28.84,81.47,turmeric
loamy,winter,medium,12.45,7.63,kidneybeans
loamy,summer,medium,29.39,68.04,mungbean
black,monsoon,medium,19.79,97.27,cotton
clay,summer,high,30.46,67.8,jute
sandy,summer,medium,25.86,55.06,maize
loamy,monsoon,medium,24.66,96.69,tea
red,summer,low,26.39,70.19,grapes
loamy,monsoon,high,22.38,94.67,jute
red,summer,low,32.54,69.07,mungbean
black,monsoon,high,25.2,93.19,banana
sandy,winter,low,11.33,29.81,onion
sandy,winter,low,9.46,26.1,barley
loamy,monsoon,high,21.46,93.07,jute
red,autumn,medium,22.05,94.37,orange
red,winter,medium,15.45,88.11,apple
sandy,autumn,low,21.08,57.61,pomegranate
red,autumn,medium,24.98,58.71,coffee
loamy,monsoon,medium,25.03,67.35,coffee
clay,monsoon,high,25.47,94.93,jute
loamy,monsoon,low,26.94,75.4,blackgram
clay,monsoon,medium,23.91,100.0,rice
red,summer,low,29.06,32.83,millets
loamy,monsoon,medium,28.28,82.0,blackgram
loamy,winter,medium,15.63,79.46,orange
black,monsoon,high,27.09,78.91,sugarcane
black,winter,low,9.93,9.6,chickpea
loamy,monsoon,medium,26.6,67.92,pigeonpeas
clay,winter,low,5.33,21.97,wheat
red,summer,medium,30.27,53.73,turmeric
black,monsoon,high,24.81,100.0,rice
loamy,autumn,medium,13.73,36.62,wheat
loamy,autumn,medium,24.89,55.44,coffee
red,monsoon,medium,25.7,90.76,ginger
loamy,summer,high,26.94,81.49,coconut
black,summer,medium,26.1,50.51,maize
clay,monsoon,medium,22.72,98.33,jute
sandy,summer,low,24.8,73.38,grapes
loamy,summer,medium,29.64,75.4,muskmelon
sandy,winter,low,12.39,32.72,onion
red,summer,medium,26.11,53.19,maize
clay,winter,low,5.88,23.79,wheat
loamy,autumn,medium,23.35,91.84,apple
loamy,autumn,low,18.77,15.8,chickpea
black,summer,high,29.37,76.64,rice
black,summer,high,32.99,52.13,sugarcane
sandy,summer,high,27.88,71.07,watermelon
black,summer,medium,25.8,70.98,cotton
sandy,summer,low,31.55,34.93,millets
red,summer,medium,26.65,79.89,orange
red,monsoon,high,25.64,100.0,coconut
sandy,monsoon,medium,22.59,100.0,watermelon
loamy,autumn,medium,27.0,58.73,coffee
black,summer,high,32.48,49.97,sugarcane
black,monsoon,medium,21.15,93.03,cotton
black,winter,low,10.16,30.55,wheat
sandy,monsoon,low,28.53,98.96,mungbean
loamy,winter,low,12.45,11.99,kidneybeans
loamy,autumn,medium,23.21,94.11,orange
red,autumn,low,27.72,55.74,mothbeans
loamy,winter,medium,11.68,12.48,kidneybeans
loamy,summer,low,29.83,40.91,mothbeans
red,winter,medium,11.4,43.99,potato
black,summer,low,31.55,35.01,millets
loamy,monsoon,high,23.9,87.33,ginger
loamy,autumn,low,18.7,18.37,chickpea
sandy,summer,low,31.86,38.54,mothbeans
loamy,summer,high,28.05,70.27,ginger
loamy,summer,high,29.46,78.83,watermelon
clay,winter,medium,11.18,20.93,wheat
sandy,monsoon,low,28.15,97.71,mungbean
sandy,autumn,low,16.89,32.51,barley
red,summer,medium,29.65,74.83,watermelon
sandy,summer,high,29.01,77.91,coconut
sandy,autumn,low,23.59,78.24,grapes
sandy,summer,medium,30.84,70.54,muskmelon
loamy,autumn,medium,24.55,55.74,guava
sandy,summer,low,23.92,42.04,pomegranate
black,monsoon,high,22.73,95.6,jute
red,summer,low,30.01,34.32,pigeonpeas
red,winter,medium,10.24,42.75,potato
loamy,autumn,medium,20.7,20.19,kidneybeans
loamy,autumn,low,24.93,61.2,lentil
loamy,summer,low,32.24,77.76,muskmelon
red,monsoon,medium,24.33,91.54,ginger
loamy,summer,medium,27.52,69.02,cotton
sandy,monsoon,medium,23.62,98.91,coconut
loamy,winter,medium,18.03,77.62,apple
sandy,summer,low,28.92,44.47,sorghum
loamy,winter,low,10.93,20.83,barley
loamy,monsoon,medium,23.4,72.01,chili
clay,winter,medium,9.03,22.77,wheat
black,winter,low,7.48,17.87,barley
loamy,summer,medium,26.99,35.74,tomato
loamy,summer,medium,31.66,67.21,turmeric
loamy,winter,medium,16.36,51.16,lentil
loamy,summer,high,28.1,63.71,jute
red,summer,low,29.54,32.94,millets
loamy,autumn,medium,23.32,92.78,orange
red,summer,low,25.75,44.07,pomegranate
red,summer,low,26.33,73.03,grapes
sandy,monsoon,low,24.93,63.45,millets
red,summer,medium,28.67,41.69,coffee
loamy,summer,high,32.35,56.54,sugarcane
loamy,summer,medium,24.2,67.75,grapes
loamy,summer,medium,29.35,40.71,chili
loamy,monsoon,medium,25.05,69.03,guava
loamy,monsoon,high,20.75,99.74,rice
sandy,autumn,low,18.11,27.62,barley
clay,winter,medium,11.56,8.07,kidneybeans
loamy,monsoon,low,24.25,99.88,mungbean
sandy,winter,medium,17.41,41.65,tomato
sandy,monsoon,medium,23.92,96.02,watermelon
red,summer,medium,29.52,56.82,turmeric
clay,monsoon,high,26.27,87.83,banana
loamy,summer,medium,26.41,76.43,orange
loamy,winter,medium,15.9,51.36,lentil
red,summer,low,31.75,48.06,mothbeans
red,monsoon,low,25.01,61.37,pigeonpeas
sandy,autumn,medium,29.14,87.59,muskmelon
loamy,summer,high,28.74,77.72,watermelon
red,monsoon,high,26.31,100.0,banana
loamy,summer,medium,29.13,40.27,guava
loamy,summer,medium,24.69,49.4,maize
loamy,summer,high,27.5,61.25,jute
loamy,summer,low,30.65,41.62,sorghum
red,autumn,medium,24.94,57.17,coffee
clay,monsoon,medium,24.08,100.0,rice
black,autumn,low,17.07,18.73,chickpea
sandy,autumn,medium,22.83,49.95,tomato
loamy,monsoon,medium,23.46,68.25,coffee
loamy,monsoon,medium,26.6,67.42,pigeonpeas
loamy,winter,low,15.61,29.71,onion
red,summer,medium,34.22,80.85,papaya
black,monsoon,high,23.25,95.65,jute
loamy,monsoon,medium,25.56,69.48,guava
black,winter,low,17.47,51.49,lentil
clay,monsoon,medium,25.18,91.99,ginger
red,summer,low,30.99,35.58,pigeonpeas
loamy,autumn,low,23.54,81.45,grapes
red,summer,medium,27.43,43.66,coffee
loamy,summer,medium,27.33,36.13,tomato
clay,winter,medium,11.39,8.35,kidneybeans
sandy,winter,low,9.79,9.3,chickpea
clay,monsoon,high,26.34,75.46,sugarcane
sandy,autumn,low,27.01,55.35,mothbeans
loamy,monsoon,medium,24.64,97.83,cotton
black,summer,high,33.44,47.94,sugarcane
loamy,summer,medium,26.01,50.2,maize
loamy,monsoon,medium,25.53,98.89,banana
black,monsoon,low,24.65,59.58,pigeonpeas
loamy,summer,medium,27.84,37.66,tomato
clay,summer,high,29.76,63.2,jute
loamy,monsoon,medium,25.2,69.21,coffee
loamy,summer,low,30.21,78.57,muskmelon
loamy,autumn,low,20.82,60.54,pomegranate
sandy,summer,low,30.83,75.84,mungbean
loamy,monsoon,medium,30.65,68.7,mango
clay,winter,medium,10.72,23.36,wheat
loamy,summer,medium,30.48,68.33,mungbean
red,summer,medium,28.28,44.5,coffee
loamy,autumn,medium,22.2,62.24,maize
black,summer,high,32.7,48.14,sugarcane
loamy,autumn,low,22.52,65.33,lentil
loamy,summer,medium,30.68,70.52,mungbean
black,winter,medium,10.42,8.81,kidneybeans
red,winter,medium,14.72,42.0,tomato
loamy,summer,medium,30.33,41.28,chili
sandy,autumn,medium,23.23,91.58,orange
clay,monsoon,high,25.2,95.61,jute
black,winter,low,11.31,29.25,onion
red,monsoon,high,26.72,97.21,coconut
loamy,summer,medium,24.54,76.93,orange
loamy,monsoon,high,25.63,91.44,banana
loamy,summer,low,30.13,80.66,mungbean
black,summer,medium,25.03,53.03,maize
black,monsoon,high,24.0,96.29,banana
loamy,autumn,medium,18.8,23.28,kidneybeans
clay,summer,high,26.2,66.28,rice
red,monsoon,low,26.9,82.25,blackgram
loamy,winter,low,15.26,33.4,onion
loamy,monsoon,high,26.02,86.39,ginger
loamy,summer,medium,31.66,41.41,guava
sandy,autumn,low,29.2,55.24,mothbeans
red,summer,medium,30.75,76.99,muskmelon
loamy,summer,medium,30.58,45.41,guava
clay,winter,medium,12.84,84.53,apple
black,summer,low,29.45,38.53,pigeonpeas
sandy,autumn,medium,23.07,92.34,orange
clay,winter,low,5.87,23.98,wheat
red,autumn,medium,25.74,58.74,coffee
sandy,summer,medium,23.85,51.1,maize
loamy,winter,medium,14.04,11.6,kidneybeans
loamy,summer,high,29.29,65.07,ginger
loamy,monsoon,high,24.5,96.95,coconut
loamy,summer,medium,26.2,65.59,grapes
black,summer,medium,29.06,39.8,chili
red,monsoon,medium,23.88,72.53,guava
loamy,summer,low,30.17,77.63,muskmelon
sandy,summer,high,31.95,77.53,coconut
black,winter,low,9.86,20.06,barley
red,summer,low,24.06,43.53,pomegranate
clay,monsoon,medium,26.78,86.01,turmeric
black,winter,low,9.09,19.48,barley
loamy,monsoon,medium,31.9,69.09,mango
black,summer,low,30.71,60.06,blackgram
loamy,monsoon,medium,26.79,77.32,sugarcane
sandy,summer,medium,33.62,77.24,papaya
sandy,monsoon,medium,21.82,82.07,maize
red,summer,low,32.63,74.16,mungbean
loamy,autumn,medium,23.95,51.85,tomato
sandy,autumn,medium,16.63,50.35,potato
loamy,summer,low,32.26,37.36,millets
loamy,autumn,medium,22.38,93.55,orange
loamy,winter,low,9.1,8.02,chickpea
loamy,monsoon,low,25.84,69.03,pigeonpeas
sandy,summer,medium,30.53,46.66,guava
red,summer,medium,27.87,42.1,coffee
